VERSION,1,,,,,vp01 leftmiddle,,,
COUNT,67,,,,,,,,
NAME,CATEGORY,TYPE,X,Y,Z,RX,RY,RZ,FIXED
V01,Valve_Interactive,ValveBall2,75,-287.5,1389,0,0,0,0
V04,Valve_Interactive,ValveBall3,513.5,-182.5,882.7,0,90,0,0
V05,Valve_Interactive,ValveBall3,513.5,-182.5,1672,0,-90,0,0
V06,Valve_Interactive,ValveBall2,737,-287.5,1268.3,0,0,0,0
V07,Valve_Interactive,ValveBall3,994,-182.5,1755.8,0,0,0,-
V08,Valve_Interactive,ValveDiaphragm,-108.5,6.42,1155.59,0,0,0,0
V09,Valve_Interactive,ValveBall2_09,26.17,6.42,1350.63,0,0,90,0
V10,Valve_Interactive,ValveNeedle_10,1411.71,-207.52,1260,0,0,-15,0
V11,Valve_Interactive,ValveBall2_11,1350.56,-185.6,1677.5,0,0,20,0
V12,Valve_Interactive,ValveDrainSample,385.5,-182.5,327.5,0,0,0,-
V13,Valve_Interactive,ValveDrainSample,811.5,-182.5,584.5,0,0,0,-
V14,Valve_Interactive,ValveDrainSample,1411.71,-207.52,361,0,0,0,0
V15,Valve_Interactive,ValveDrainTank,430,-102,292,0,0,0,-
V16,Valve_Interactive,ValveDrainTank,-550,-279.5,667,0,0,0,-
V17,Valve_Interactive,ValveDrainTank_17,-977.44,240.06,270,0,0,-45,-
V18,Valve_Interactive,ValveBall2_Red,-1459.5,-214.5,1300,0,0,-90,-
V19,Valve_Interactive,ValveBall2_Red,-1459.5,27.5,1300,-90,180,90,-
V20,Valve_Interactive,ValveDiaphragm,75,-294.5,844.5,0,0,0,1
V21,Valve_Interactive,ValveBall2_Red,-1459.5,-68.5,1380,0,-90,0,0
V22,Valve_Interactive,ValveDiaphragm_22,-1459.5,-68.5,1458,0,0,-90,0
V23,Valve_Interactive,ValveDrainTank,945,-102,292,0,0,0,0
V24,Valve_Interactive,ValveDiaphragm_24,-1469,-329,1012.5,0,0,-90,0
VP01,Valve_Interactive,ValvePneumatic3,-691.93,0,264.92,0,0,0,0
VP02,Valve_Interactive,ValvePneumatic3,-550.08,0,264.92,0,90,0,1
VP03,Valve_Interactive,ValvePneumatic2,75,-182.5,977,0,90,0,-
VP04,Valve_Interactive,ValvePneumatic2,922.35,-182.185,664.815,0,0,0,1
VP05,Valve_Interactive,ValvePneumatic2,622.35,-182.185,407.815,0,0,0,1
VP06,Valve_Interactive,ValvePneumatic2,275.35,-182.185,664.815,0,0,0,0
VP07,Valve_Interactive,ValvePneumatic2,275.35,-182.185,407.815,0,0,0,0
VP08,Valve_Interactive,ValvePneumatic2,430,-182.5,1610,0,-90,0,1
VP09,Valve_Interactive,ValvePneumatic2,597,-182.5,1610,0,90,0,-
EV01,Valve_Interactive,ValveElectric,-1054.1,-327.5,254,0,0,0,0
FCV01,Valve_Interactive,ValveControl,75,-182.5,1389,0,0,0,-
PCV02,Valve_Interactive,ValveControl,737,-182.5,1268.3,0,0,0,-
B01,Component,Tank_120,-1217.5,0,190,0,0,0,
B02,Component,Tank_100,-550,0,565,0,0,0,
B03,Component,Tank_100,430,177.5,190,0,0,0,
B04,Component,Tank_100,945,177.5,190,0,0,0,
F01_F02,Component,FilterUpstream,-1093,312,1322.5,0,0,0,
UF01,Component,MembraneUF,430,-182.5,1014.4,0,0,0,
UF02,Component,MembraneUF,597,-182.5,1014.4,0,0,0,
RO01,Component,MembraneRO,1290,21.5,587,0,0,0,
P01,Component_Interactive,PumpCentrifugal_01,-188,-182.5,190,0,0,0,
P02,Component_Interactive,PumpCentrifugal_02,-188,182.5,190,0,0,0,
P03,Component_Interactive,PumpCentrifugal_03,-971.5,-372,194,0,0,0,
E01,Component,HeatExchangerTube,-400,307.5,772.5,0,0,0,
FIT01,Instrument,InstrumentFlowTransmitter,75,-182.5,1155,0,0,0,
FIT02,Instrument,InstrumentFlowTransmitter,994,-182.5,1556.3,0,0,0,
FIT03,Instrument,InstrumentFlowTransmitter,1109,-182.5,1083,0,0,0,
FIT04,Instrument,InstrumentFlowTransmitter,1407.44,-206.95,1445,0,0,0,
FIT05,Instrument,InstrumentFlowTransmitter_05,1290,-258.5,904,0,0,0,
FIT06,Instrument,InstrumentFlowTransmitter,-1447.83,-63.67,1592,0,0,-30,
PT01,Instrument,InstrumentPressureTransmitter,168.5,-224.28,1784.75,55.06,0,0,
PT02,Instrument,InstrumentPressureTransmitter,737,-277.5,946.8,0,0,0,
PT03,Instrument,InstrumentPressureTransmitter,1221.11,9.1,1825.71,55.06,0,0,
PT04,Instrument,InstrumentPressureTransmitter,1491.71,-207.52,1009.5,0,0,17.3,
PI05,Instrument,InstrumentPressure,0.2,-119.48,443.22,-45,0,0,
PI07,Instrument,InstrumentPressure,-21.27,-10.52,1154.72,0,0,0,
TT01,Instrument,InstrumentTemperatureTransmitter,75,-182.5,1812,0,0,0,
TT02,Instrument,InstrumentTemperatureTransmitter,-300.5,307.5,663,0,90,0,
TT03,Instrument,InstrumentTemperatureTransmitter,-400,307.5,1860.5,0,0,0,
TT04,Instrument,InstrumentTemperatureTransmitter,-1459.5,-68.5,1725,0,0,0,
TT05,Instrument,InstrumentTemperatureTransmitter,-277,307.5,1722.5,0,90,0,
COND01,Instrument,InstrumentConductivityTransmitter,-6.5,-294.5,935,0,0,0,
COND02,Instrument,InstrumentConductivityTransmitter,75,319,1393.65,0,0,0,
COND03,Instrument,InstrumentConductivityTransmitter,1109,-101,1240.5,0,0,0,
